"﻿Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Variável - Rendimento médio da produção (Quilogramas por Hectare),,,,,,,,,,,,,,,,,,,,,,
Cód.,Município,Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,
Cód.,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cód.,Município,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar
3555000,Tupã (SP),-,-,-,-,80000,96233,91636,70000,65000,70000,80000,120000,80000,60000,60000,75000,85000,60000,72170,75000,60000
3555109,Tupi Paulista (SP),-,-,-,-,-,89520,90000,84262,80000,80000,100000,90967,78000,84345,67476,81000,80000,72000,70000,70000,70000
3555208,Turiúba (SP),-,-,-,-,80000,94625,100000,120000,123960,120000,120000,80415,80000,77624,60000,70000,94260,80000,80000,65000,90000
3555307,Turmalina (SP),70000,80000,80000,21676,80000,89651,80000,78000,90000,78730,80000,80000,85000,70000,70000,60000,60000,80000,60000,75000,75000
3555356,Ubarana (SP),80000,80000,96952,62483,100000,79739,60000,80000,80000,80000,80000,80000,80000,80000,80000,80000,90000,90000,90000,90000,90000
3555406,Ubatuba (SP),-,...,...,...,...,...,...,...,...,...,...,...,-,...,...,...,-,-,-,-,-
3555505,Ubirajara (SP),-,-,-,-,-,-,-,67142,67198,68198,70000,72000,72022,59925,72000,52000,70000,70000,-,-,-
3555604,Uchoa (SP),78555,80000,70000,80000,80000,79470,80000,80000,75000,80000,80000,80000,80000,80000,70000,80000,110000,110000,90000,90000,80000
3555703,União Paulista (SP),100000,120000,73846,120000,104000,99357,120000,90000,90000,90000,90000,90000,90000,110000,80000,100000,100000,100000,100000,80000,80000
3555802,Urânia (SP),-,60000,-,-,-,-,-,90000,90000,114000,113000,80000,92000,100000,80000,100000,120000,120000,120000,110000,110000
3555901,Uru (SP),-,-,-,-,-,-,80000,50000,50000,120000,119992,119993,-,120049,99972,120000,120013,120000,110000,75000,75000
3556008,Urupês (SP),80000,70000,82418,80000,76722,79469,80000,80000,80000,80000,80000,80000,80000,80000,72000,80000,90000,90000,80000,70000,80000
3556107,Valentim Gentil (SP),70000,-,50000,50000,50000,-,50000,-,110000,90000,78809,78151,-,90000,90000,90000,70000,68000,65000,73000,70000
3556206,Valinhos (SP),-,-,-,-,-,-,-,-,-,...,-,-,-,-,-,-,-,-,-,-,-
3556305,Valparaíso (SP),85119,86086,80600,90000,81458,72000,80000,69999,80000,72000,72000,72000,72000,80000,62000,75000,82382,84000,82000,82000,82000
3556354,Vargem (SP),-,-,45000,50000,50000,44714,80000,45000,45000,45000,50000,50000,80000,-,-,-,-,-,-,-,-
3556404,Vargem Grande do Sul (SP),91000,90000,87000,80586,81000,81450,85000,90000,85000,90001,100000,76650,90000,90138,89988,75278,119995,120000,120000,90000,75000
